SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MinimumAngle,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,IsPouringFailed
SM_Blue_Cup,SM_BigBowl,3.826099,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.336135,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.116714,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.865502,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.854825,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.151061,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.912058,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.212027,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.123764,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.044378,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.060831,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.99189,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.134749,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.174995,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.334473,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.581827,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.543067,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.224708,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
